【集合住宅】,,【集合住宅】,,,,
■集合住宅の高さによる分類,,■集合住宅の高さによる分類,,,,
①低層集合住宅：○○～○○階建て。密度○○～○○人/ha,,1～2階建て。密度100人/ha～200人/ha,,,,
②中層住宅：○○～○○階建て。密度○○人/ha,,3～5階建て。密度300人/ha,,,,
③高層住宅：○○～○○階建て。密度○○人/ha,,6階建て以上。密度500人/ha,,,,
④超高層住宅：高さ○○m超。密度○○人/ha,,高さ60m超。密度1000人/ha,,,,
■集合住宅の構成による分類,,■集合住宅の構成による分類,,,,
"接地型の住戸配置。
特徴：共用庭は玄関の反対側に設けられ、住棟間のプライバシーを確保するための緩衝スペースとして有効。",路,路地アクセス,例）ライブタウン浜田山,,,
"接地型の住戸配置。
特徴：コミュニティの活性化、居住者どうしの交流の機会を増大させるのに有効。",コ,コモンアクセス,例）タウンハウス諏訪（東京都多摩市）,,,
"共用廊下側に居間。内部空間と外部空間をなじませ、コミュニティの活性化を狙う。
共用廊下と住戸内リビングにレベル差を設ける等、工夫が必要。",リ,リビングアクセス型,例）八潮ハイツ（東京都品川区）,,,
"各住戸が階段室かエレベーターホールに直接面するタイプ。
メリット：各住戸は両面に開口部が取れ、プライバシーを損なわず通風・採光が得られる。
デメリット：エレベーター台数が多くなる",階,階段室型,,,,
"片廊下に面して各住戸が並ぶタイプ。
メリット：エレベーター台数が少なくなる
デメリット：通風・採光とプライバシー両立が難しい。
採光の観点で端に中型大型住戸を配置、中央は小型住戸。",片,片廊下型,,,,
"エレベーターが2,3階毎に止まる。階段室型と片廊下型を組み合わせたタイプ。
メリット：両面に開口部が取りやすい。
デメリット：動線が長くなる。階段が必要。",ス,スキップフロア型,例)晴海高層住宅,,,
"中廊下の両側に住戸を配置。南北軸で配置（じゃないと北向住戸が出るため）。
メリット：敷地に密度の高く住戸を詰め込める。
デメリット：採光や通風に制限。",中,中廊下型,,,,
"中廊下の中央に吹抜け等がある。
メリット：採光・通風が改善
デメリット：廊下部分の面積が大きくなる。",ツ,ツインコリドール型,,,,
"高層マンションによくみられる。
メリット：共用部を少なくできる。
デメリット：各住戸の日照環境が異なる",集,集中型（ボイド型）,,,,
■集合住宅の住宅の形式と計画,,■集合住宅の住宅の形式と計画,,,,
集合住宅で、1住戸が1層で構成された形式。,フ,フラット型,,,,
"集合住宅で、1住戸が2層以上で構成された形式。
階段が住宅内に配置されるので、大規模な住戸に適する。",メ,メゾネット型,,,,
■集合住宅の新しい流れ,,■集合住宅の新しい流れ,,,,
協同組合運営方式による集合住宅。組合を作って企画設計から参加。not賃貸。,コ,コーポラティブハウス,ユーコート（京都府）、Mポート（熊本県）,,,
各住戸の独立性（風呂トイレ台所等あり）もありつつ、食堂・厨房・趣味室等を共用した、集合住宅。,コ,コレクティブハウス,先駆的例）かんかん森,,,
病院での治療・訓練を終了した人が、日常生活への復帰に向けてADL（日常生活動作）訓練を受けることができるリハビリテーション施設,ハ,ハーフウェイハウス,,,,
太陽エネルギーを利用する住宅。熱の移動にポンプやファンなどの機械力を使用し、作動にエネルギーを必要とする方式。,ア,アクティブソーラーハウス,,,,
太陽エネルギーを利用する住宅。集排熱、蓄熱、熱の移動などに専用の装置や動力をできるだけ使用しない太陽熱利用の方式。,パ,パッシブソーラーハウス,,,,
骨組ともいえる構造躯体（スケルトンという）と住戸内の内装・設備（インフィルという）を明確に分離して供給する住宅をいいます。,ス,スケルトン・インフィル住宅,例)NEXT21,,,
建築物や塀で囲まれた中庭をもつ専用住宅,コ,コートハウス,コート＝中庭,,,
区画された専用庭をもつ住戸を，境界壁を介して連続させた接地型の低層集合住宅,テ,テラスハウス,,,,
共用の庭（＝コモンスペース）をもつ低層集合住宅,タ,タウンハウス,,,,
車いすの移動に支障がない住宅。具体的には通路幅が確保され、段差のない住宅です。,モ,モビリティハウス,,,,
障がい者の特性に合わせて、可変間仕切りや上下可動の衛生設備などを備えた住宅。,ア,アジャスタブルハウス,流し台の高さを調整できたりします。,,,
"集合住宅のエレベーターのポイント
中高層で1台あたり○○人程度まで負担できる。（速度・階数にもよる）",,"集合住宅のエレベーターのポイント
中高層で1台あたり100人程度まで負担できる。（速度・階数にもよる）",,,,
"バルコニーの手すり高さ
・高さ○○m以上",,"バルコニーの手すり高さ
・高さ1.1m以上",,,,
【都市計画】,,【004都市計画】,,,,
"アーサーペリの近隣住区の6原則（近隣住区理論）
①規○○、②境○○、③公○○、④公○○、⑤地○○、⑥住○○",,①規模、②境界、③公園、④公共施設、⑤地区店舗、⑥住区内道路,,https://imp.or.jp/wp-content/uploads/2022/01/special-4.pdf,,
■近隣住区理論の、住宅地の段階構成と公共施設計画,,■近隣住区理論の、住宅地の段階構成と公共施設計画,,,,
住居グループ：住戸○○～○○戸。人口○○～○○人。,,住居グループ：100～200戸。人口400～800人。,,,,
"近隣分区：○○～○○戸。人口○○～○○人。
幼○○、日○○、診○○、街○○（児○○）、等。",,"近隣分区：1000～1200戸。人口4000～5000人。
幼稚園、日用品店舗、診療所、街区公園（児童公園）、等。",,,,
"近隣住区：○○～○○戸、人口○○～○○人。
小○○、近○○、ス○○、等。",,"近隣住区：2000～2500戸、人口8000～10,000人。
小学校、近隣公園、スーパーマーケット、等。",,,,
"共同地区：○○～○○戸、人口○○～○○人。
中○○、地○○、郵○○、病○○等。",,"共同地区：4000～5000戸、人口16000～20,000人、中学校、地区公園。郵便局、病院、等。",,,,
"主として街区内の居住者が利用することを目的とした公園。
誘致距離○○m、面積○○haを標準とする。",街,"街区公園（児童公園）
誘致距離250m、面積0.25ha を標準とする。",,https://www.mlit.go.jp/toshi/park/toshi_parkgreen_tk_000138.html,,
"主として近隣の居住者が利用することを目的とする公園。
誘致距離○○m、面積○○haを標準とする。",近,"近隣公園
誘致距離500m、面積2ha を標準とする。",,,,
"主として徒歩圏内の居住者が利用することを目的とした公園。
誘致距離○○km、面積○○ha を標準とする。",地,"地区公園
誘致距離1km、面積4ha を標準とする。",,,,
"休息、散歩、遊戯、運動等に利用することを目的とした公園。
面積○○～○○ha、○○万人以上、都市住民全般を対象。",総,"総合公園。
休息、散歩、遊戯、運動等に利用することを目的とした公園。
面積10～50ha、10万人以上、都市住民全般を対象。",,,,
"主に運動に利用することを目的とした公園。
面積○○～○○ha、○○万人以上、都市住民全般を対象。",運,"運動公園。
主に運動に利用することを目的とした公園。
面積15～75ha、10万人以上、都市住民全般を対象。",,,,
歩車分離。クルドサック（袋小路）。,ラ,ラドバーン,"歩車分離のために住宅地内の通過交通を排除する手法がクルドサック（袋小路）。
光ヶ丘団地（東京都）。千里ニュータウン（大阪府）。",,,
歩車共存。シケイン。バンプ。,ボ,ボンエルフ,"歩車共存のために車の速度を低下させる手法がシケインとバンプです。

発祥オランダ。シーサイドももち（福岡県福岡市）。",,,
"近隣住区方式の空間構成の単調さに対し、
複数の近隣住区群を一体化し、商業施設その他の利便施設を一つの中心地区に集中・集積する計画方式",ワ,ワンセンター方式 ,カンバーノールド（スコットランド）、高蔵寺ニュータウン（愛知県）,,,
"市街地再開発において、既成の市街地の中に、街区程度の小規模な開発を少しずつ挿入（インフィル）していく手法。
(notスケルトンインフィル)",イ,インフィルハウジング,都市（ベルリン、ミュンヘン等）に多い。,,,
持続可能（サスティナブル）でコンパクトな都市及びそれを実現するための都市政策。公共交通機関の活用による脱自動車依存や、省エネ等により実現される。富山市や宇都宮市のLRT。,コ,コンパクトシティ,富山市や宇都宮市、等（LRTでコンパクトシティを実践）,,,
都市計画理論。自動車からの脱却。公共交通機関の優先活用。コンパクトシティ。アワニー原則,ニ,ニューアーバニズム,,,,
都市計画理論。イギリスで提唱。ニューアーバニズムとほぼ一緒。シアトルで実践。,ア,アーバンヴィレッジ,,,,
公共交通指向型都市開発,T,TOD（Transit Oriented Development）,,,,
郊外の鉄道駅付近に駐車場を整備し、自家用車から鉄道に乗り換える手法。かなり色々な都市で採用されている。,パ,パークアンドライド,,,,
パークアンドライドのために郊外に設ける駐車場,フ,フリンジパーキング,,,,
"公共交通機関としての新しい路面電車システム。
普通鉄道（ヘビーレール）と比べて、輸送力の小さな軌道系電車軌道。",L,LRT（Light Rail Transit）,,,,
公共交通機関と歩行者だけ通行できる街路。世界初はニコレットモール（アメリカ）。,ト,トランジットモール,,,,
